apologizer,num_seasons_main,num_sorrys,num_real_sorrys,num_real_sorrys_normalized,num_apologies,num_good_apologies,num_good_apologies_normalized,num_bad_apologies,num_bad_apologies_normalized
Monica Garcia,1,25,10,10,9,6,6,3,3
Heather Gay,5,115,40,8,23,15,3,8,1.6
Jen Shah,3,124,49,16.33333333,26,13,4.333333333,13,4.333333333
Whitney Rose,5,97,38,7.6,24,11,2.2,13,2.6
Meredith Marks,5,95,21,4.2,18,10,2,8,1.6
Angie Katsanevas,2,66,16,8,10,5,2.5,5,2.5
Jennie Nguyen,1,17,3,3,3,1,1,2,2
Lisa Barlow,5,166,65,13,36,7,1.4,29,5.8
Mary Cosby,3,58,14,4.666666667,15,3,1,12,4
Bronwyn Newport,1,45,5,5,3,1,1,2,2
